GtC yr,Column 1,Column 2,Column 3,Individual models,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Data-based products,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46
year,GCB,,,NEMO3.6-PISCESv2-gas (CNRM),FESOM-2.1-REcoM3,NEMO-PISCES (IPSL),MOM6-COBALT (Princeton),MRI-ESM2-21,MICOM-HAMOCC (NorESM1-OCv1.2),NEMO-PlankTOM12,CESM-ETHZ,MPIOM-HAMOCC6,ACCESS (CSIRO),,Multi-model mean,Model Spread (sd),,CMEMS-LSCE-FFNN,JMA-MLR,LDEO-HPD,MPI-SOMFFN,NIES-ML3,OS_ETH_Gracer,Jena-MLS,UOEx-Watson,Average data-products (excl. Watson.),sd data-products (excl. Watson.),,,,,,,,,,,,,,,,,,,GCB
1995,2.0332061393,0.40000000000000002,,1.573235783,2.1719324863,1.789556044,1.733698489,1.8319508242,2.3048173077,1.5956216346,1.882646978,1.6391803571,2.5806434753,,1.9103283379,0.33537159012,,2.2164133097,2.77416483,1.97049642,1.88830593,1.9658632556,2.35856695,1.91877689,2.6880022629,2.1560839408,0.32282846935,,,,,,,,,,,,,,,,,,,2.0332061393
1996,2.0285265592,0.40000000000000002,,1.5754201236,2.2123306777,1.7419539148,1.7821974588,1.833811424,2.2378774038,1.7140826923,1.8548115842,1.659008631,2.4577343864,,1.9069228297,0.2916567785,,2.2045385906,2.70985003,1.96300479,1.83642509,2.0053407205,2.39251017,1.93924263,2.5648546806,2.1501302887,0.30926229067,,,,,,,,,,,,,,,,,,,2.0285265592
1997,2.2005005152,0.40000000000000002,,1.8596044643,2.153728869,1.9533517857,1.8826964286,2.1976720238,2.3289375,1.89554375,2.0579761905,1.5748369048,2.9378252976,,2.0842173214,0.36669401174,,2.3473694429,2.78925666,2.24307045,1.98245468,2.0536532297,2.506723,2.2949585,2.7207440763,2.3167837089,0.27299775453,,,,,,,,,,,,,,,,,,,2.2005005152
1998,2.2404002047,0.40000000000000002,,1.8067888049,2.4291270604,2.0237496566,2.0491953984,2.1375326236,2.3639975962,1.9430048077,2.0711407967,1.5076651786,2.8859162088,,2.1218118132,0.37461738968,,2.1728556657,2.83783608,2.29091494,1.88234999,2.1992063973,2.44973519,2.68002191,2.6700392585,2.3589885961,0.32470151629,,,,,,,,,,,,,,,,,,,2.2404002047
1999,1.9966387955,0.40000000000000002,,1.3879731456,2.2375252518,1.5691475275,1.7106943681,1.6963932234,2.4110576923,1.6764658654,1.7183054029,1.8004934524,2.43000712,,1.8638063049,0.36281617031,,2.0275647462,2.69230876,1.88545432,1.65498641,2.1116406266,2.26357535,2.27076879,2.3319069516,2.1294712861,0.32917015845,,,,,,,,,,,,,,,,,,,1.9966387955
2000,1.9367195659,0.40000000000000002,,1.4161574863,2.0419234432,1.6055453984,1.5601933379,1.7342538233,2.3901177885,1.5069269231,1.6384700092,1.7753217262,2.4090980311,,1.8078007967,0.35539150397,,2.0417694449,2.49224174,1.90107772,1.67517402,2.0154465104,2.27865642,2.05510249,2.3332908162,2.065638335,0.26144141925,,,,,,,,,,,,,,,,,,,1.9367195659
2001,1.8370847188,0.40000000000000002,,1.2053418269,1.8513216346,1.5999432692,1.4916923077,1.7251144231,2.3031778846,1.5733879808,1.6276346154,1.58715,2.3981889423,,1.7362952885,0.36419461806,,2.0357381539,2.43751407,1.69134405,1.61759248,1.9818671302,2.25076051,1.55030265,2.3327509978,1.9378741492,0.33481830283,,,,,,,,,,,,,,,,,,,1.8370847188
2002,2.2378091269,0.40000000000000002,,1.7885261676,2.390719826,2.0393411401,1.9401912775,2.1159750229,2.5462379808,1.9408490385,2.0987992216,1.8369782738,2.8562798535,,2.1553897802,0.34090169087,,2.2677189339,2.6290385,2.20032012,1.93913343,2.1577131605,2.52209355,2.52558162,2.5342929027,2.3202284735,0.24734017752,,,,,,,,,,,,,,,,,,,2.2378091269
2003,2.3430899075,0.40000000000000002,,1.8017105082,2.3891180174,1.991739011,2.1156902473,2.1708356227,2.6872980769,1.9313100962,2.2119638278,1.8858065476,2.9543707647,,2.213984272,0.36838468261,,2.3710349558,2.87394273,2.36215807,2.14283791,2.2235829854,2.5194851,2.81232705,2.6512565119,2.472195543,0.28046179497,,,,,,,,,,,,,,,,,,,2.3430899075
2004,2.3034351636,0.40000000000000002,,1.7418948489,2.2825162088,1.9381368819,1.939189217,2.0696962225,2.5873581731,1.9627711538,2.1161284341,1.9106348214,2.9624616758,,2.1510787637,0.36889449638,,2.364276365,2.78935454,2.36633213,2.21629336,2.2051122088,2.51889657,2.73027577,2.6884487733,2.4557915634,0.23351146684,,,,,,,,,,,,,,,,,,,2.3034351636
